National Code,AQF Level,Title,TGA Status,State Code,Nominal Hours,Type,QA,StateCode,NatCode,NatTitle,NatCodeAndTitle
BSB80315,Graduate Certificate In,Leadership Diversity,Current,AVQ8,290,Qualification,AVQ8,AVQ8,BSB80315,Leadership Diversity,BSB80315 Graduate Certificate In Leadership Diversity
BSB80415,Graduate Diploma of,Portfolio Management,Current,AVW4,590,Qualification,AVW4,AVW4,BSB80415,Portfolio Management,BSB80415 Graduate Diploma of Portfolio Management
BSB80515,Graduate Certificate In,Management (Learning),Current,AZH7,320,Qualification,AZH7,AZH7,BSB80515,Management (Learning),BSB80515 Graduate Certificate In Management (Learning)
BSB80615,Graduate Diploma of,Management (Learning),Current,AZJ1,590,Qualification,AZJ1,AZJ1,BSB80615,Management (Learning),BSB80615 Graduate Diploma of Management (Learning)
CUA10113,Certificate I in,Dance,Current,J690,180,Qualification,J690,J690,CUA10113,Dance,CUA10113 Certificate I in Dance
CUA10113,Certificate I in,Dance,Current,J690,180,Qualification,J690,J690,CUA10113,Dance,CUA10113 Certificate I in Dance
CUA10215,Certificate I in,Aboriginal and Torres Strait Islander Cultural Arts,Current,AZN3,225,Qualification,AZN3,AZN3,CUA10215,Aboriginal and Torres Strait Islander Cultural Arts,CUA10215 Certificate I in Aboriginal and Torres Strait Islander Cultural Arts
CUA10215,Certificate I in,Aboriginal and Torres Strait Islander Cultural Arts,Current,AZN3,225,Qualification,AZN3,AZN3,CUA10215,Aboriginal and Torres Strait Islander Cultural Arts,CUA10215 Certificate I in Aboriginal and Torres Strait Islander Cultural Arts
CUA10315,Certificate I in,Visual Arts,Current,AZK5,215,Qualification,AZK5,AZK5,CUA10315,Visual Arts,CUA10315 Certificate I in Visual Arts
CUA10315,Certificate I in,Visual Arts,Current,AZK5,215,Qualification,AZK5,AZK5,CUA10315,Visual Arts,CUA10315 Certificate I in Visual Arts
CUA20113,Certificate II in,Dance,Current,J691,380,Qualification,J691,J691,CUA20113,Dance,CUA20113 Certificate II in Dance
CUA20113,Certificate II in,Dance,Current,J691,380,Qualification,J691,J691,CUA20113,Dance,CUA20113 Certificate II in Dance
CUA20215,Certificate II in,Creative Industries,Current,AZN1,250,Qualification,AZN1,AZN1,CUA20215,Creative Industries,CUA20215 Certificate II in Creative Industries
CUA20215,Certificate II in,Creative Industries,Current,AZN1,250,Qualification,AZN1,AZN1,CUA20215,Creative Industries,CUA20215 Certificate II in Creative Industries
CUA20315,Certificate II in,Aboriginal and Torres Strait Islander Visual Arts Industry Work,Current,AZL0,250,Qualification,AZL0,AZL0,CUA20315,Aboriginal and Torres Strait Islander Visual Arts Industry Work,CUA20315 Certificate II in Aboriginal and Torres Strait Islander Visual Arts Industry Work
CUA20315,Certificate II in,Aboriginal and Torres Strait Islander Visual Arts Industry Work,Current,AZL0,250,Qualification,AZL0,AZL0,CUA20315,Aboriginal and Torres Strait Islander Visual Arts Industry Work,CUA20315 Certificate II in Aboriginal and Torres Strait Islander Visual Arts Industry Work
CUA20415,Certificate II in,Aboriginal and Torres Strait Islander Cultural Arts,Current,AZN8,365,Qualification,AZN8,AZN8,CUA20415,Aboriginal and Torres Strait Islander Cultural Arts,CUA20415 Certificate II in Aboriginal and Torres Strait Islander Cultural Arts
CUA20415,Certificate II in,Aboriginal and Torres Strait Islander Cultural Arts,Current,AZN8,365,Qualification,AZN8,AZN8,CUA20415,Aboriginal and Torres Strait Islander Cultural Arts,CUA20415 Certificate II in Aboriginal and Torres Strait Islander Cultural Arts
CUA20515,Certificate II in,Information and Cultural Services,Current,AZM9,363,Qualification,AZM9,AZM9,CUA20515,Information and Cultural Services,CUA20515 Certificate II in Information and Cultural Services
CUA20515,Certificate II in,Information and Cultural Services,Current,AZM9,363,Qualification,AZM9,AZM9,CUA20515,Information and Cultural Services,CUA20515 Certificate II in Information and Cultural Services
CUA20615,Certificate II in,Music Industry,Current,AZM6,260,Qualification,AZM6,AZM6,CUA20615,Music Industry,CUA20615 Certificate II in Music Industry
CUA20615,Certificate II in,Music Industry,Current,AZM6,260,Qualification,AZM6,AZM6,CUA20615,Music Industry,CUA20615 Certificate II in Music Industry
CUA20715,Certificate II in,Visual Arts,Current,AZN4,355,Qualification,AZN4,AZN4,CUA20715,Visual Arts,CUA20715 Certificate II in Visual Arts
CUA20715,Certificate II in,Visual Arts,Current,AZN4,355,Qualification,AZN4,AZN4,CUA20715,Visual Arts,CUA20715 Certificate II in Visual Arts
CUA30113,Certificate III in,Dance,Current,J693,540,Qualification,J693,J693,CUA30113,Dance,CUA30113 Certificate III in Dance
CUA30113,Certificate III in,Dance,Current,J693,540,Qualification,J693,J693,CUA30113,Dance,CUA30113 Certificate III in Dance
CUA30213,Certificate III in,"Community Dance, Theatre and Events",Current,J694,550,Qualification,J694,J694,CUA30213,"Community Dance, Theatre and Events","CUA30213 Certificate III in Community Dance, Theatre and Events"
CUA30213,Certificate III in,"Community Dance, Theatre and Events",Current,J694,550,Qualification,J694,J694,CUA30213,"Community Dance, Theatre and Events","CUA30213 Certificate III in Community Dance, Theatre and Events"
CUA30313,Certificate III in,Assistant Dance Teaching,Current,J695,360,Qualification,J695,J695,CUA30313,Assistant Dance Teaching,CUA30313 Certificate III in Assistant Dance Teaching
CUA30313,Certificate III in,Assistant Dance Teaching,Current,J695,360,Qualification,J695,J695,CUA30313,Assistant Dance Teaching,CUA30313 Certificate III in Assistant Dance Teaching
CUA30415,Certificate III in,Live Production and Services,Current,AZM4,489,Qualification,AZM4,AZM4,CUA30415,Live Production and Services,CUA30415 Certificate III in Live Production and Services
CUA30415,Certificate III in,Live Production and Services,Current,AZM4,489,Qualification,AZM4,AZM4,CUA30415,Live Production and Services,CUA30415 Certificate III in Live Production and Services
CUA30515,Certificate III in,Aboriginal and Torres Strait Islander Cultural Arts,Current,AZN9,535,Qualification,AZN9,AZN9,CUA30515,Aboriginal and Torres Strait Islander Cultural Arts,CUA30515 Certificate III in Aboriginal and Torres Strait Islander Cultural Arts
CUA30515,Certificate III in,Aboriginal and Torres Strait Islander Cultural Arts,Current,AZN9,535,Qualification,AZN9,AZN9,CUA30515,Aboriginal and Torres Strait Islander Cultural Arts,CUA30515 Certificate III in Aboriginal and Torres Strait Islander Cultural Arts
CUA30615,Certificate III in,Arts Administration,Current,AZM8,490,Qualification,AZM8,AZM8,CUA30615,Arts Administration,CUA30615 Certificate III in Arts Administration
