National Code,Title,TGA Status,State Code,Nominal Hours
BSBFLM306,Provide workplace information and resourcing plans,Current,AUI34,40
BSBFLM309,Support continuous improvement systems and processes,Current,AUJ78,30
BSBFLM311,Support a workplace learning environment,Current,AUH15,30
BSBFLM312,Contribute to team effectiveness,Current,AUI54,30
BSBFLM313,"Apply language, literacy and numeracy to support others in the workplace",Current,AUK23,25
BSBFLM314,"Mentor others in the workplace to support their language, literacy and numeracy skill development",Current,AUJ92,25
BSBFRA301,Work within a franchise,Current,AUL63,30
BSBFRA401,Manage compliance with franchisee obligations and legislative requirements,Current,AUK36,40
BSBFRA402,Establish a franchise,Current,AUJ63,50
BSBFRA403,Manage relationship with franchisor,Current,AUL14,40
BSBFRA404,Manage a multiple-site franchise,Current,AUJ07,50
BSBFRA501,Establish a franchise operation,Current,AUK19,50
BSBFRA502,Manage a franchise operation,Current,AUL23,40
BSBFRA503,Manage establishment of new sites or regions,Current,AUK83,50
BSBFRA504,Manage relationships with franchisees,Current,AUH00,40
BSBFRA505,Manage closure of a franchise,Current,AUM07,70
BSBGOV401,Implement board member responsibilities,Current,AUJ91,40
BSBGOV402,Work within organisational structure,Current,AUH60,40
BSBGOV403,Analyse financial reports and budgets,Current,AUK48,50
BSBGOV404,Communicate with community stakeholders,Current,AWG31,35
BSBGOV405,Undertake the roles and responsibilities of committee or board members,Current,AWG29,35
BSBGOV501,Review and apply the organisation's constitution,Current,AWG30,25
BSBGOV502,Recruit and coordinate committee members,Current,AWG28,25
BSBGOV503,Conduct organisational strategic planning,Current,AWG26,70
BSBGOV504,Monitor organisational finances,Current,AWG27,70
BSBGOV505,Seek and apply for funding opportunities,Current,AWG25,45
BSBGOV506,Manage advocacy for your organisation,Current,AWG24,25
BSBGOV507,Manage board or committee and organisational conflict,Current,AWG23,45
BSBHRM403,Support performance management process,Current,AUJ49,40
BSBHRM404,Review human resource functions,Current,AUI11,40
BSBHRM405,"Support the recruitment, selection and induction of staff",Current,AUK08,45
BSBHRM501,Manage human resource services,Current,AUJ52,60
BSBHRM502,Manage human resource management information systems,Current,AUM49,60
BSBHRM505,Manage remuneration and employee benefits,Current,AUK49,60
BSBHRM506,Manage recruitment selection and induction processes,Current,AUL50,60
BSBHRM507,Manage separation or termination,Current,AUI17,60
BSBHRM509,Manage rehabilitation or return to work programs,Current,AUL75,30
BSBHRM510,Manage mediation processes,Current,AUH59,60
BSBHRM511,Manage expatriate staff,Current,AUJ61,40
BSBHRM512,Develop and manage performance management processes,Current,AUI48,60
BSBHRM513,Manage workforce planning,Current,AUK95,60
BSBHRM602,Manage human resources strategic planning,Current,AUI98,40
BSBHRM604,Manage employee relations,Current,AUK44,60
BSBIND201,Work effectively in a business environment,Current,AUJ42,20
BSBIND301,Work effectively in an educational environment,Current,AUK18,40
BSBIND302,Work effectively in the international education services industry,Current,AUK54,50
BSBINM201,Process and maintain workplace information,Current,AUI81,20
BSBINM202,Handle mail,Current,AUK81,15
BSBINM301,Organise workplace information,Current,AUH34,20
BSBINM302,Utilise a knowledge management system,Current,AUK86,20
BSBINM303,Handle receipt and despatch of information,Current,AUJ58,20
BSBINM401,Implement workplace information system,Current,AUI60,40
BSBINM501,Manage an information or knowledge management system,Current,AUJ29,40
BSBINM601,Manage knowledge and information,Current,AUK56,60
BSBINN201,Contribute to workplace innovation,Current,AUI88,20
BSBINN301,Promote innovation in a team environment,Current,AUL02,30
BSBINN501,Establish systems that support innovation,Current,AUH52,50
BSBINN502,Build and sustain an innovative work environment,Current,AUK09,50
BSBINN601,Lead and manage organisational change,Current,AUI47,30
BSBINN801,Lead innovative thinking and practice,Current,AUL80,80
BSBINT301,Apply knowledge of the international trade environment to complete work,Current,AUI06,30
BSBINT302,Apply knowledge of legislation relevant to international trade to complete work,Current,AUK79,30
BSBINT303,Organise the importing and exporting of goods,Current,AUJ26,40
BSBINT304,Assist in the international transfer of services,Current,AUH21,20
BSBINT305,Prepare business documents for the international trade of goods,Current,AUM37,40
BSBINT306,Apply knowledge of international finance and insurance to complete work requirements,Current,AUK15,40
BSBINT401,Research international business opportunities,Current,AUL42,40
BSBINT405,"Apply knowledge of import and export international conventions, laws and finance",Current,AUI39,50
BSBINT407,Prepare business advice on export Free-on-Board Value,Current,AUM44,30
BSBINT408,Prepare business advice on the taxes and duties for international trade transactions,Current,AUL54,40
BSBINT409,Plan for international trade,Current,AUJ97,50
BSBIPR301,Comply with organisational requirements for protection and use of intellectual property,Current,AUM36,30
BSBIPR401,Use and respect copyright,Current,AUL07,40
BSBIPR402,Protect and use new inventions and innovations,Current,AUH41,30
BSBIPR403,Protect and use brands and business identity,Current,AUJ34,30
BSBIPR404,Protect and use innovative designs,Current,AUJ20,30
BSBIPR405,Protect and use intangible assets in small business,Current,AUJ46,40
BSBIPR501,Manage intellectual property to protect and grow business,Current,AUI50,50
BSBIPR601,Develop and implement strategies for intellectual property management,Current,AUM11,60
BSBITA401,Design databases,Current,AUI22,30
BSBITA601,Configure and optimise customer contact technology,Current,AUK17,80
BSBITB501,Establish and maintain a workgroup computer network,Current,AUL49,50
BSBITB801,Implement advanced electronic technologies,Current,AUH88,80
BSBITS401,Maintain business technology,Current,AUM04,30
BSBITU101,Operate a personal computer,Current,AUL79,20
BSBITU102,Develop keyboard skills,Current,AUJ98,40
BSBITU201,Produce simple word processed documents,Current,AUL70,40
BSBITU202,Create and use spreadsheets,Current,AUI53,20
BSBITU203,Communicate electronically,Current,AUI87,20
BSBITU301,Create and use databases,Current,AUI28,20
BSBITU302,Create electronic presentations,Current,AUK07,20
BSBITU303,Design and produce text documents,Current,AUM45,50
BSBITU304,Produce spreadsheets,Current,AUL91,25
BSBITU305,Conduct online transactions,Current,AUK06,20
BSBITU306,Design and produce business documents,Current,AUJ88,60
BSBITU307,Develop keyboarding speed and accuracy,Current,AUK03,40
BSBITU309,Produce desktop published documents,Current,AUJ48,50
BSBITU401,Design and develop complex text documents,Current,AUK26,70
BSBITU402,Develop and use complex spreadsheets,Current,AUH20,60
BSBITU404,Produce complex desktop published documents,Current,AUJ10,50
BSBLDR401,Communicate effectively as a workplace leader,Current,AUK38,35
BSBLDR402,Lead effective workplace relationships,Current,AUM06,40
BSBLDR403,Lead team effectiveness,Current,AUI57,40
BSBLDR404,Lead a diverse workforce,Current,AUI12,45
BSBLDR501,Develop and use emotional intelligence,Current,AUJ41,55
BSBLDR502,Lead and manage effective workplace relationships,Current,AUI26,45
BSBLDR503,Communicate with influence,Current,AUJ82,55
BSBLDR504,Implement diversity in the workplace ,Current,AUL76,55
BSBLDR801,Lead personal and strategic transformation,Current,AUH18,80
BSBLDR802,Lead the strategic planning process for an organisation,Current,AUM35,90
BSBLDR803,Develop and cultivate collaborative partnerships and relationships,Current,AUH61,40
BSBLDR804,Influence and shape diversity management,Current,AUK22,70
BSBLDR805,Lead and influence change,Current,AUI46,70
BSBLDR806,Lead and influence ethical practice,Current,AUL83,70
BSBLED101,Plan skills development,Current,AUJ65,20
BSBLED301,Undertake e-learning,Current,AUK72,40
BSBLED401,Develop teams and individuals,Current,AUL82,40
BSBLED501,Develop a workplace learning environment,Current,AUL89,50
BSBLED502,Manage programs that promote personal effectiveness,Current,AUK65,50
BSBLED503,Maintain and enhance professional practice,Current,Aug-95,30
BSBLED802,Lead learning strategy implementation,Current,AUL29,80
BSBLED803,Implement improved learning practice,Current,AUH04,60
BSBLED804,Review enterprise e-learning systems and solutions implementation,Current,AUJ36,80
BSBLED805,Plan and implement a mentoring program,Current,AUJ70,80
BSBLED806,Plan and implement a coaching strategy,Current,AUI89,60
BSBLED807,Establish career development services,Current,AUM50,80
BSBLED808,Conduct a career development session,Current,AUI05,50
BSBLED809,Identify and communicate trends in career development,Current,AUI80,60
BSBLED810,Develop human capital,Current,AUK00,80
BSBLEG301,Apply knowledge of the legal system to complete tasks,Current,AUK41,60
BSBLEG302,Carry out search of the public record,Current,AUI37,20
BSBLEG303,Deliver court documentation,Current,AUH28,10
BSBLEG304,Apply the principles of confidentiality and security within the legal environment,Current,AUH43,10
BSBLEG305,Use legal terminology in order to carry out tasks,Current,AUJ25,40
BSBLEG306,Maintain records for time and disbursements in a legal practice,Current,AUI16,10
BSBLEG308,Assist in prioritising and planning activities in a legal practice,Current,AUH63,10
BSBLEG403,Maintain trust accounts,Current,AUI73,50
BSBLEG413,Identify and apply the legal framework,Current,AUJ43,50
BSBLEG414,Establish and maintain a file in legal services,Current,AUK55,50
BSBLEG415,Apply the principles of contract law,Current,AUI21,60
BSBLEG416,Apply the principles of the law of torts,Current,AUH74,60
BSBLEG417,Apply the principles of evidence law,Current,AUK51,60
BSBLEG418,Produce complex legal documents,Current,AUI27,80
BSBLEG510,Apply legal principles in family law matters,Current,AUL77,60
BSBLEG511,Apply legal principles in criminal law matters,Current,AUJ83,60
BSBLEG512,Apply legal principles in property law matters,Current,AUL00,60
BSBLEG513,Apply legal principles in corporation law matters,Current,AUJ93,60
BSBLEG514,Assist with civil procedure,Current,AUJ08,60
BSBLEG515,Apply legal principles in wills and probate matters,Current,AUK05,60
BSBLIB201,Assist with circulation services,Current,AWG22,50
BSBLIB202,Process information resource orders,Current,AWG21,50
BSBLIB301,Catalogue objects into collections,Current,AWG20,80
BSBLIB302,Develop and apply knowledge of archives,Current,AWG19,60
BSBLIB303,Provide multimedia support,Current,AWG18,50
BSBLIB304,Develop and use information literacy skills,Current,AWG16,60
BSBLIB305,Use established cataloguing tools,Current,AWG17,50
BSBLIB306,Process and maintain information resources,Current,AWG15,50
BSBLIB401,Record and maintain collection information,Current,AWG14,50
BSBLIB402,Consolidate and maintain industry knowledge,Current,AWG13,60
BSBLIB403,Complete a range of cataloguing activities,Current,AWG12,100
BSBLIB404,Use integrated library management systems,Current,AWG11,30
BSBLIB405,Assist customers to access information,Current,AWG10,60
BSBLIB406,Obtain information from external and networked sources,Current,AWG09,60
BSBLIB407,Search library and information databases,Current,AWG08,50
BSBLIB501,Manage lending and borrowing processes for collections,Current,AWG07,30
BSBLIB502,Manage the development of collections,Current,AWG05,50
BSBLIB503,"Develop and promote activities, events and public programs",Current,AWG04,60
BSBLIB504,Develop exhibition concepts,Current,AWG06,80
BSBLIB505,Develop disaster management plans,Current,AWG03,40
BSBLIB506,Maintain digital repositories,Current,AWG02,50
BSBLIB507,Promote literature and reading,Current,AWG00,30
BSBLIB508,Analyse and describe information resources,Current,AWG01,100
BSBLIB509,Provide subject access and classify material,Current,AWF99,100
BSBLIB510,Use and monitor advanced functions of integrated library management systems,Current,AWF98,100
BSBLIB511,Research and analyse information to meet customer needs,Current,AWF96,60
BSBLIB512,Develop and maintain community and stakeholder relationships,Current,AWF97,100
BSBLIB513,Monitor compliance with copyright and licence requirements,Current,AWF93,40
BSBLIB601,Research and document collection material,Current,AWF94,60
BSBLIB602,Develop and monitor procedures for the movement and storage of collection material,Current,AWF95,60
BSBLIB603,Contribute to collection management,Current,AWF92,100
BSBLIB604,Extend own information literacy skills to locate information,Current,AWF91,100
BSBLIB605,Analyse and describe specialist and complex material,Current,AWF90,100
BSBMED301,Interpret and apply medical terminology appropriately,Current,AUK35,40
BSBMED302,Prepare and process medical accounts,Current,AUH49,40
BSBMED303,Maintain patient records,Current,AUI77,40
BSBMED304,Assist in controlling stocks and supplies,Current,AUM21,20
BSBMED305,"Apply the principles of confidentiality, privacy and security within the medical environment",Current,AUM43,10
BSBMED401,Manage patient recordkeeping system,Current,AUJ06,40
BSBMGT401,Show leadership in the workplace,Current,AUK93,50
BSBMGT402,Implement operational plan,Current,AUI61,50
